,0
2017-11-01,0.002193014451881803
2017-11-02,-0.002518342710839838
2017-11-03,-0.006420623347611731
2017-11-06,0.0016456224967265065
2017-11-07,0.00977119421687389
2017-11-08,-0.0010696947167948556
2017-11-09,0.0031228830006870822
2017-11-10,-0.0016397846038963548
2017-11-13,0.004123060418731894
2017-11-14,-0.0033645384588235627
2017-11-15,-0.003982661162819201
2017-11-16,-0.003867452511970182
2017-11-17,-0.007737037378273137
2017-11-20,0.003158059137116531
2017-11-21,0.004921606233159848
2017-11-22,0.007045886499729592
2017-11-23,-0.014412229079335592
2017-11-24,0.0016298407197912201
2017-11-27,-0.006228268250291102
2017-11-28,0.0031930210979369544
2017-11-29,0.006800883520609924
2017-11-30,-0.0049038398467805555
2017-12-01,0.0007224321822130175
2017-12-04,0.0012668182630362068
2017-12-05,-0.003294745296868573
2017-12-06,0.0005158876041311267
2017-12-07,-0.0020970417185537382
2017-12-08,0.0011981372127904955
2017-12-11,0.003771011631523047
2017-12-12,-0.009046843685142858
2017-12-13,0.00613121717078724
2017-12-14,0.0007623615071246093
2017-12-15,-0.003689175265432554
2017-12-18,-0.0014476035007167098
2017-12-19,0.004339966076775337
2017-12-20,-0.002488556669634434
2017-12-21,0.0011764859855940557
2017-12-22,0.0020863728188318387
2017-12-25,-0.006670514537313377
2017-12-26,0.006781408849867887
2017-12-27,-0.0021768828989742195
2017-12-28,0.0071702731300922196
2017-12-29,0.00281637769976939
2018-01-02,0.013559734389702038
2018-01-03,0.0019644727899004177
2018-01-04,0.002944845219918557
2018-01-05,0.001215766012736097
2018-01-08,0.007458794489482612
2018-01-09,-0.003512394847316691
2018-01-10,-0.0038275163604004625
2018-01-11,-0.0011449467153742399
2018-01-12,-0.004436521538515148
2018-01-15,-0.01398856586789976
2018-01-16,0.008958788434608289
2018-01-17,-0.0014499403554398826
2018-01-18,0.0020343246574678897
2018-01-19,-0.0016345508241033535
2018-01-22,0.004992942739206141
2018-01-23,0.004040680824602294
2018-01-24,0.001675926084351076
2018-01-25,0.0023378685892738726
2018-01-26,0.0012039462296262737
2018-01-29,-0.004980938901782528
2018-01-30,-0.006048133863884475
2018-01-31,-0.009010943271108296
2018-02-01,-0.024827782571496537
2018-02-02,0.011165238895800567
2018-02-05,-0.0008578902282107004
2018-02-06,-0.03139847417735031
2018-02-07,-0.004472855761017525
2018-02-08,-0.0021224617193223994
2018-02-09,-0.032991086071292086
2018-02-12,0.010682025060902989
2018-02-13,0.00485902886415901
2018-02-14,0.0036596100357770833
2018-02-22,0.014092547528805177
2018-02-23,0.005899117666490872
2018-02-26,0.009950196998638638
2018-02-27,-0.005894606773892086
2018-02-28,-0.004191511554787586
2018-03-01,0.0028594238652943638
2018-03-02,-0.0014701672646870723
2018-03-05,-0.001140266610408669
2018-03-06,0.008934609352639233
2018-03-07,-0.0047393541904673375
2018-03-08,0.008553036875766917
2018-03-09,0.0028399195847510494
2018-03-12,0.0043829954702814256
2018-03-13,-0.003044818488929346
2018-03-14,-0.0004959886297505323
2018-03-15,0.0020820837566817296
2018-03-16,-0.005907829838513012
2018-03-19,-0.0025055611105723186
2018-03-20,0.003029569480004435
2018-03-21,-0.0020601637074154633
2018-03-22,-0.004757625148729794
2018-03-23,-0.0243753126503522
2018-03-26,0.0036783605008674503
2018-03-27,0.00984273674184899
2018-03-28,-0.012650173870587422
2018-03-29,0.008242723157014353
2018-03-30,0.005727975414209663
2018-04-02,0.003302348239935249
2018-04-03,-0.005145927883191903
2018-04-04,0.0008904530650077902
2018-04-09,-0.002364989231684822
2018-04-10,0.010021635827117459
2018-04-11,0.0051657500899602304
2018-04-12,-0.005465507010029236
2018-04-13,-0.0039825002445732505
2018-04-16,-0.009166481001685378
2018-04-17,-0.005719129783741894
2018-04-18,0.005447669411176914
